commit	page	score_before	score_after	status	description
1c5d746	/blog/ai-vs-human-receptionist	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/how-ai-receptionist-works	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/ai-receptionist-cost-pricing	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/best-ai-receptionist-tools	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/complete-guide-to-seo	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/ai-phone-answering-dentists	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/ai-phone-answering-plumbers	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings; added Link import
1c5d746	/blog/best-after-hours-answering-service	unknown	+5 FAQPage +3 FAQ H3s +5 CTA/pricing link +Footer	keep	Add FAQPage schema + FAQ section + /pricing link + uncomment Footer
1c5d746	/blog/best-ai-receptionist-small-business	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
1c5d746	/blog/speed-to-lead-local-business	unknown	+5 FAQPage +3 FAQ H3s	keep	Add FAQPage JSON-LD schema + 5-question FAQ section with question H3 headings
